>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PBPA009_152MM_AP_100LBS.bulletDetonator changed in second object (was 0.025, is 0.005)
root.PBPA009_152MM_AP_100LBS.alphaDamage changed in second object (was 1400.0, is 2500.0)
root.PJSB007_Kongo_1942.B_Hull_1941.fuelFee changed in second object (was 1500, is 11500)
root.PJSB007_Kongo_1942.B_Hull_1941.maxRepairCost changed in second object (was 16000, is 0)
root.PJSB007_Kongo_1942.C_Hull_1942.fuelFee changed in second object (was 1500, is 11500)
root.PJSB007_Kongo_1942.C_Hull_1942.maxRepairCost changed in second object (was 16000, is 0)
root.PRSD105_Pr_7_Gnevny.A_Hull.fuelFee changed in second object (was 1300, is 11500)
root.PRSD105_Pr_7_Gnevny.A_Hull.maxRepairCost changed in second object (was 13000, is 0)
root.PRSD105_Pr_7_Gnevny.B_Hull.fuelFee changed in second object (was 1300, is 11500)
root.PRSD105_Pr_7_Gnevny.B_Hull.maxRepairCost changed in second object (was 13000, is 0)
root.PBSC102_Weymouth.A_Hull.fuelFee changed in second object (was 0, is 2000)
root.PBSC102_Weymouth.A_Hull.maxRepairCost changed in second object (was 3000, is 0)
root.PBSC102_Weymouth.B_Hull.fuelFee changed in second object (was 0, is 2000)
root.PBSC102_Weymouth.B_Hull.maxRepairCost changed in second object (was 3000, is 0)
root.PBSC102_Weymouth.AB_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 24.18)
root.PBSC102_Weymouth.AB_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC102_Weymouth.AB_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PAAD008_Douglas_AD2.costCR changed in second object (was 1200, is 600)
root.PJSB705_Kongou.B_Hull_1941.fuelFee changed in second object (was 1500, is 11500)
root.PJSB705_Kongou.B_Hull_1941.maxRepairCost changed in second object (was 16000, is 0)
root.PJSB705_Kongou.C_Hull_1942.fuelFee changed in second object (was 1500, is 11500)
root.PJSB705_Kongou.C_Hull_1942.maxRepairCost changed in second object (was 16000, is 0)
root.PASB012_North_Carolina_1945.B_Hull_1942.fuelFee changed in second object (was 20000, is 75000)
root.PASB012_North_Carolina_1945.B_Hull_1942.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.B_Hull_1942.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.B_Hull_1942.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.B_Hull_1942.armor.65630 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.B_Hull_1942.maxRepairCost changed in second object (was 92000, is 0)
root.PASB012_North_Carolina_1945.C_Hull_1945.fuelFee changed in second object (was 20000, is 75000)
root.PASB012_North_Carolina_1945.C_Hull_1945.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.C_Hull_1945.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.C_Hull_1945.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.C_Hull_1945.armor.65630 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.C_Hull_1945.maxRepairCost changed in second object (was 92000, is 0)
root.PAAD002_Curtiss_SBC4.costCR changed in second object (was 320, is 200)
root.PRSC505_KrasniKrym.A_Hull.fuelFee changed in second object (was 1300, is 11500)
root.PRSC505_KrasniKrym.A_Hull.maxRepairCost changed in second object (was 13000, is 0)
root.PRSC505_KrasniKrym.groupCustom.RU removed in first object
root.PFSB506_Dunkerque_1940.A_Hull.fuelFee changed in second object (was 3000, is 21850)
root.PFSB506_Dunkerque_1940.A_Hull.maxRepairCost changed in second object (was 36000, is 0)
root.PFSB506_Dunkerque_1940.groupCustom.EU removed in first object
root.PBGT038_21in_Triple_Torpedo_Tube.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PAAB051_Douglas_BTD_1.costCR changed in second object (was 1200, is 600)
root.PJSC709_Haguro.A_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSC709_Haguro.A_Hull.maxRepairCost changed in second object (was 50000, is 0)
root.PJSC709_Haguro.B_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSC709_Haguro.B_Hull.maxRepairCost changed in second object (was 50000, is 0)
root.PJSC709_Haguro.C_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSC709_Haguro.C_Hull.maxRepairCost changed in second object (was 50000, is 0)
root.PASA002_Bogue_1942.A_Hull.fuelFee changed in second object (was 4000, is 11500)
root.PASA002_Bogue_1942.A_Hull.armor.65623 changed in second object (was 16.0, is 13.0)
root.PASA002_Bogue_1942.A_Hull.maxRepairCost changed in second object (was 9000, is 0)
root.PASA002_Bogue_1942.B_Hull.fuelFee changed in second object (was 4000, is 11500)
root.PASA002_Bogue_1942.B_Hull.armor.65623 changed in second object (was 16.0, is 13.0)
root.PASA002_Bogue_1942.B_Hull.maxRepairCost changed in second object (was 9000, is 0)
root.PAAD010_Douglas_BTD_1.costCR changed in second object (was 1200, is 600)
root.PASC002_Chester_1908.A_Hull_1908.fuelFee changed in second object (was 0, is 2000)
root.PASC002_Chester_1908.A_Hull_1908.maxRepairCost changed in second object (was 3000, is 0)
root.PASC002_Chester_1908.B_Hull_1917.fuelFee changed in second object (was 0, is 2000)
root.PASC002_Chester_1908.B_Hull_1917.maxRepairCost changed in second object (was 3000, is 0)
root.PBSC109_Neptune.A_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PBSC109_Neptune.A_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PBSC109_Neptune.A_Hull.armor.65584 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65585 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65603 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65622 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65623 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65630 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65629 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.fuelFee changed in second object (was 21000, is 120000)
root.PBSC109_Neptune.A_Hull.maxRepairCost changed in second object (was 140000, is 0)
root.PBSC109_Neptune.ShipModernization.ModernizationSlot5.mods[1] changed in second object (was PCM024_Engine_Mod_II, is PCM025_SteeringGear_Mod_II)
root.PBSC109_Neptune.ShipModernization.ModernizationSlot5.mods[2] removed in second object
root.PBSC109_Neptune.AB2_Torpedoes.HP_BGT_3.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB2_Torpedoes.HP_BGT_2.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB2_Torpedoes.HP_BGT_1.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB2_Torpedoes.HP_BGT_4.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB1_Torpedoes.HP_BGT_3.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB1_Torpedoes.HP_BGT_2.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB1_Torpedoes.HP_BGT_1.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB1_Torpedoes.HP_BGT_4.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.B_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PBSC109_Neptune.B_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PBSC109_Neptune.B_Hull.armor.65584 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65585 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65603 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65622 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65623 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65630 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65629 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.fuelFee changed in second object (was 21000, is 120000)
root.PBSC109_Neptune.B_Hull.maxRepairCost changed in second object (was 140000, is 0)
root.PBSC109_Neptune.AB_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 31.155)
root.PBSC109_Neptune.AB_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC109_Neptune.AB_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PBSC109_Neptune.ShipAbilities.AbilitySlot2.abils[0][0] changed in second object (was PCY007_SpeedBooster, is PCY006_SmokeGenerator)
root.PBSC109_Neptune.ShipAbilities.AbilitySlot2.abils[0][1] changed in second object (was UK_CL, is UK_Lvl_9)
root.PBSC109_Neptune.ShipAbilities.AbilitySlot2.abils[1][0] changed in second object (was PCY015_SpeedBoosterPremium, is PCY014_SmokeGeneratorPremium)
root.PBSC109_Neptune.ShipAbilities.AbilitySlot2.abils[1][1] changed in second object (was UK_CL_PREM, is UK_Lvl_9_Gold)
root.PAAB903_XP67_HALLOWEEN.costCR changed in second object (was 320, is 300)
root.PAAF001_Grumman_F3F.costCR changed in second object (was 220, is 200)
root.PJSC503_Katori.A_Hull.fuelFee changed in second object (was 0, is 3000)
root.PJSC503_Katori.A_Hull.maxRepairCost changed in second object (was 3500, is 0)
root.PJSC035_Chikuma_1912.A_Hull_1912.fuelFee changed in second object (was 0, is 2000)
root.PJSC035_Chikuma_1912.A_Hull_1912.maxRepairCost changed in second object (was 3000, is 0)
root.PJSC035_Chikuma_1912.B_Hull_1918.fuelFee changed in second object (was 0, is 2000)
root.PJSC035_Chikuma_1912.B_Hull_1918.maxRepairCost changed in second object (was 3000, is 0)
root.PJAD009_Aichi_B7A.costCR changed in second object (was 1200, is 600)
root.PASB801_False_Michigan_1916.HullDefault.fuelFee changed in second object (was 0, is 3000)
root.PASB801_False_Michigan_1916.HullDefault.maxRepairCost changed in second object (was 4500, is 0)
root.PASB034_New_Mexico_1941.B_Hull_1936.fuelFee changed in second object (was 3200, is 23000)
root.PASB034_New_Mexico_1941.B_Hull_1936.maxRepairCost changed in second object (was 38000, is 0)
root.PASB034_New_Mexico_1941.C_Hull_1941.maxRepairCost changed in second object (was 38000, is 0)
root.PASB034_New_Mexico_1941.C_Hull_1941.fuelFee changed in second object (was 3200, is 23000)
root.PASB034_New_Mexico_1941.A_Hull_1918.fuelFee changed in second object (was 3200, is 23000)
root.PASB034_New_Mexico_1941.A_Hull_1918.maxRepairCost changed in second object (was 38000, is 0)
root.PAPA015_Shell_406mm_HE_HC_Mk_13.costCR changed in second object (was 250, is 150)
root.PJSC015_Tatsuta_1919.A_Hull_1919.fuelFee changed in second object (was 0, is 3000)
root.PJSC015_Tatsuta_1919.A_Hull_1919.maxRepairCost changed in second object (was 3500, is 0)
root.PJSC015_Tatsuta_1919.B_Hull_1937.fuelFee changed in second object (was 0, is 3000)
root.PJSC015_Tatsuta_1919.B_Hull_1937.maxRepairCost changed in second object (was 3500, is 0)
root.PRSC108_Pr_68_Chapaev.A_Hull.fuelFee changed in second object (was 16500, is 75000)
root.PRSC108_Pr_68_Chapaev.A_Hull.maxRepairCost changed in second object (was 85500, is 0)
root.PRSC108_Pr_68_Chapaev.B_Hull.fuelFee changed in second object (was 16500, is 75000)
root.PRSC108_Pr_68_Chapaev.B_Hull.maxRepairCost changed in second object (was 85500, is 0)
root.PASA015_Midway_1945.HullDefault.fuelFee changed in second object (was 95000, is 180000)
root.PASA015_Midway_1945.HullDefault.armor.65625 changed in second object (was 12.0, is 13.0)
root.PASA015_Midway_1945.HullDefault.armor.65626 changed in second object (was 12.0, is 13.0)
root.PASA015_Midway_1945.HullDefault.maxRepairCost changed in second object (was 180000, is 0)
root.PGSC106_Nurnberg.A_Hull.fuelFee changed in second object (was 3200, is 23000)
root.PGSC106_Nurnberg.A_Hull.armor.65584 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65585 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65603 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65593 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65629 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.armor.65630 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.A_Hull.maxRepairCost changed in second object (was 28000, is 0)
root.PGSC106_Nurnberg.B_Hull.fuelFee changed in second object (was 3200, is 23000)
root.PGSC106_Nurnberg.B_Hull.armor.65584 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65585 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65603 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65593 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65629 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.armor.65630 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.B_Hull.maxRepairCost changed in second object (was 28000, is 0)
root.PGSC106_Nurnberg.C_Hull.fuelFee changed in second object (was 3200, is 23000)
root.PGSC106_Nurnberg.C_Hull.armor.65584 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65585 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65603 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65593 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65629 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.armor.65630 changed in second object (was 19.0, is 16.0)
root.PGSC106_Nurnberg.C_Hull.maxRepairCost changed in second object (was 28000, is 0)
root.PJSB011_Mikasa_1905.HullDefault.fuelFee changed in second object (was 0, is 2000)
root.PJSB011_Mikasa_1905.HullDefault.maxRepairCost changed in second object (was 3300, is 0)
root.PBPA007_102MM_HE_MG_BS.bulletDetonator changed in second object (was 0.01, is 0.005)
root.PBPA007_102MM_HE_MG_BS.alphaDamage changed in second object (was 450.0, is 500.0)
root.PASD006_Mahan_1936.A_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PASD006_Mahan_1936.A_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.A_Hull.armor.131165 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.A_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.A_Hull.maxRepairCost changed in second object (was 45000, is 0)
root.PASD006_Mahan_1936.B_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PASD006_Mahan_1936.B_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.armor.131165 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.B_Hull.maxRepairCost changed in second object (was 45000, is 0)
root.PASD006_Mahan_1936.C_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PASD006_Mahan_1936.C_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.armor.131165 changed in second object (was 15.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PASD006_Mahan_1936.C_Hull.maxRepairCost changed in second object (was 45000, is 0)
root.PJSC717_Yellow_Dragon.A_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSC717_Yellow_Dragon.A_Hull.maxRepairCost changed in second object (was 50000, is 0)
root.PJSC717_Yellow_Dragon.B_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSC717_Yellow_Dragon.B_Hull.maxRepairCost changed in second object (was 50000, is 0)
root.PJSC717_Yellow_Dragon.C_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSC717_Yellow_Dragon.C_Hull.maxRepairCost changed in second object (was 50000, is 0)
root.PJAB001_B5N2.costCR changed in second object (was 550, is 300)
root.PBGT041_21in_Torpedo_Tubes_Twin_R.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PGSB002_Tirpiz_1942.HullDefault.fuelFee changed in second object (was 14000, is 52500)
root.PGSB002_Tirpiz_1942.HullDefault.maxRepairCost changed in second object (was 64500, is 0)
root.PASB008_Colorado_1945.B_Hull_1942.fuelFee changed in second object (was 8500, is 42000)
root.PASB008_Colorado_1945.B_Hull_1942.maxRepairCost changed in second object (was 55000, is 0)
root.PASB008_Colorado_1945.A_Hull_1921.fuelFee changed in second object (was 8500, is 42000)
root.PASB008_Colorado_1945.A_Hull_1921.maxRepairCost changed in second object (was 55000, is 0)
root.PASB008_Colorado_1945.C_Hull_1945.maxRepairCost changed in second object (was 55000, is 0)
root.PASB008_Colorado_1945.C_Hull_1945.fuelFee changed in second object (was 8500, is 42000)
root.PJSD207_Shiratsuyu.A_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PJSD207_Shiratsuyu.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.A_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.A_Hull.maxRepairCost changed in second object (was 45000, is 0)
root.PJSD207_Shiratsuyu.A_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSD207_Shiratsuyu.B_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSD207_Shiratsuyu.B_Hull.armor.65592 changed in second object (was 15.0, is 16.0)
root.PJSD207_Shiratsuyu.B_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.B_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.B_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PJSD207_Shiratsuyu.B_Hull.maxRepairCost changed in second object (was 45000, is 0)
root.PGSB110_Grossdeutschland.A_Hull.fuelFee changed in second object (was 46000, is 180000)
root.PGSB110_Grossdeutschland.A_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PGSB110_Grossdeutschland.A_Hull.armor.131121 changed in second object (was 28.0, is 32.0)
root.PGSB110_Grossdeutschland.A_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PGSB110_Grossdeutschland.A_Hull.armor.131166 changed in second object (was 28.0, is 32.0)
root.PGSB110_Grossdeutschland.A_Hull.maxRepairCost changed in second object (was 225000, is 0)
root.PAAD006_Vought_SBU.level changed in second object (was 3, is 4)
root.PAAD006_Vought_SBU.costCR changed in second object (was 220, is 200)
root.PASD014_Leader_1919.B_Hull_1938.fuelFee changed in second object (was 1300, is 11500)
root.PASD014_Leader_1919.B_Hull_1938.maxRepairCost changed in second object (was 13000, is 0)
root.PASD014_Leader_1919.A_Hull_1919.fuelFee changed in second object (was 1300, is 11500)
root.PASD014_Leader_1919.A_Hull_1919.maxRepairCost changed in second object (was 13000, is 0)
root.PJPT001_Sea_Torpedo_Type93.costCR changed in second object (was 900, is 350)
root.PJAD007_D4Y3.costCR changed in second object (was 1200, is 600)
root.PAAD508_Douglas_AD2_S.costCR changed in second object (was 1200, is 600)
root.PRSD001_Gremyashchy_1942.HullDefault.fuelFee changed in second object (was 1300, is 11500)
root.PRSD001_Gremyashchy_1942.HullDefault.maxRepairCost changed in second object (was 13000, is 0)
root.PAAF002_Grumman_F6F.costCR changed in second object (was 550, is 350)
root.PAPT027_Mk_16_mod_1.costCR changed in second object (was 700, is 300)
root.PJSB013_Amagi_1942.B_Hull_1941.fuelFee changed in second object (was 20000, is 75000)
root.PJSB013_Amagi_1942.B_Hull_1941.armor.65584 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.B_Hull_1941.armor.65585 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.B_Hull_1941.armor.65629 changed in second object (was 28.0, is 32.0)
root.PJSB013_Amagi_1942.B_Hull_1941.armor.65630 changed in second object (was 28.0, is 32.0)
