>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCQT276_Key.rewards[0] changed in second object (was <Ship shipId="PRSD106_Pr_30_Ognevoy" level="1" count="1"/>, is <Ship shipId="PGSB106_Bayern" level="1" count="1"/>)
root.PCQT276_Key.rewards[1] changed in second object (was <Permoflage shipId="PRSD106_Pr_30_Ognevoy" idx="PCEP116_Permo_Upgr_6_lvl" />, is <Permoflage shipId="PGSB106_Bayern" idx="PCEP302_Permo_NY_2" />)
root.PCQT276_Key.costUnlock changed in second object (was 1, is 6)
root.PCQT285.rewards[0] changed in second object (was <Add type="CREDITS" limit="1000000" count="1000000"/>, is <Add type="CREDITS" limit="500000" count="500000"/>)
root.PCQT285.uiCondition[2] changed in second object (was IDS_TASKRESTRICTION_PVPCOOPRANKED, is IDS_TASKRESTRICTION_PVP)
root.PCQT285.lootStars changed in second object (was 2, is 1)
root.PCQT285.conditions[1] changed in second object (was <isBattleType battleTypes="PVP,COOPERATIVE,RANKED"/>, is <isBattleType battleTypes="PVP"/>)
root.PCQT252.rewards[0] changed in second object (was <Add type="CREDITS" limit="1000000" count="1000000"/>, is <Add type="CREDITS" limit="500000" count="500000"/>)
root.PCQT252.lootStars changed in second object (was 3, is 2)
root.PCQT252.conditions[2] changed in second object (was <isTotalCredits count="400000" />, is <isTotalCredits count="500000" />)
root.PCQT251.rewards[0] changed in second object (was <Item idx="PCEF003_EqualSpeed_SignalFlag" count="10"/>, is <Item idx="PCEF003_EqualSpeed_SignalFlag" count="15"/>)
root.PCQT251.conditions[2] changed in second object (was <isTotalXP count="60000" />, is <isTotalXP count="30000" />)
root.PCQT254.rewards[0] changed in second object (was <Item idx="PCEF013_PP_SignalFlag" count="10"/>, is <Item idx="PCEF013_PP_SignalFlag" count="15"/>)
root.PCQT254.conditions[2] changed in second object (was <isWeaponHits count="100" weaponTypes="main,atba,torps,bomber,tbomber" />, is <isWeaponHits count="400" weaponTypes="main,atba,torps,bomber,tbomber" />)
root.PCQT255.lootStars changed in second object (was 2, is 1)
root.PCQT255.conditions[2] changed in second object (was <isDamage damageTypes="fire" count="20000" />, is <isDamage damageTypes="fire" count="50000" />)
root.PCQC003_NewYear2017BasicCampaign.startTime changed in second object (was 13-12-2016 16:30:01, is 23-12-2016 00:00:01)
root.PCQC003_NewYear2017BasicCampaign.endTime changed in second object (was 19-12-2016 13:00:01, is 18-01-2017 23:59:59)
root.PCQT264.rewards[0] changed in second object (was <Item idx="PCEF011_IB3_SignalFlag" count="10"/>, is <Item idx="PCEF011_IB3_SignalFlag" count="15"/>)
root.PCQT264.uiCondition[2] changed in second object (was IDS_TASKRESTRICTION_PVPCOOPRANKED, is IDS_TASKRESTRICTION_PVP)
root.PCQT264.conditions[1] changed in second object (was <isBattleType battleTypes="PVP,COOPERATIVE,RANKED"/>, is <isBattleType battleTypes="PVP"/>)
root.PCQT264.conditions[2] changed in second object (was <isKillShips count="3" />, is <isKillShips count="5" />)
root.PCM010_Airplanes_Mod_II.airplanesAmmoCount changed in second object (was 1.5, is 1.0)
root.PCQT253.lootStars changed in second object (was 3, is 2)
root.PCQT253.conditions[2] changed in second object (was <isXP count="7500" />, is <isXP count="10000" />)
root.PCQT205.conditions[2] changed in second object (was <isTotalXP count="10000" />, is <isTotalXP count="16000" />)
root.PCQT281.conditions[2] changed in second object (was <isTotalXP count="120000" />, is <isTotalXP count="30000" />)
root.PCQT283.lootStars changed in second object (was 3, is 2)
root.PCQT282.lootStars changed in second object (was 3, is 2)
root.PCQT282.conditions[2] changed in second object (was <isTotalCredits count="400000" />, is <isTotalCredits count="500000" />)
root.PCQT284.rewards[0] changed in second object (was <Item idx="PCEF005_SM_SignalFlag" count="10"/>, is <Item idx="PCEF005_SM_SignalFlag" count="15"/>)
root.PCQT284.uiCondition[2] changed in second object (was IDS_TASKRESTRICTION_PVPCOOPRANKED, is IDS_TASKRESTRICTION_PVP)
root.PCQT284.conditions[1] changed in second object (was <isBattleType battleTypes="PVP,COOPERATIVE,RANKED"/>, is <isBattleType battleTypes="PVP"/>)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_1.index changed in second object (was PRGA008, is PRGA030)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_1.name changed in second object (was PRGA008_12_DShK, is PRGA030_70K_37mm)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_1.antiAirAuraDistance changed in second object (was 40.0, is 107.0)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_1.antiAirAuraStrength changed in second object (was 0.036, is 0.057)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_1.HitLocationAirDefense.armorCoeff changed in second object (was 1.0, is 0.8)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_1.barrelDiameter changed in second object (was 0.0127, is 0.037)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_1.deadMesh changed in second object (was content/gameplay/russia/gun/aaircraft/RGA008_12_DShK/RGA008_12_DShK_dead.model, is content/gameplay/russia/gun/aaircraft/RGA030_70K_37mm/RGA030_70K_37mm_dead.model)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_1.model changed in second object (was content/gameplay/russia/gun/aaircraft/RGA008_12_DShK/RGA008_12_DShK.model, is content/gameplay/russia/gun/aaircraft/RGA030_70K_37mm/RGA030_70K_37mm.model)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_1.id changed in second object (was 4286571984, is 4263503312)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_4.index changed in second object (was PRGA030, is PRGA008)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_4.name changed in second object (was PRGA030_70K_37mm, is PRGA008_12_DShK)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_4.antiAirAuraDistance changed in second object (was 107.0, is 40.0)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_4.antiAirAuraStrength changed in second object (was 0.057, is 0.036)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_4.HitLocationAirDefense.armorCoeff changed in second object (was 0.8, is 1.0)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_4.barrelDiameter changed in second object (was 0.037, is 0.0127)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_4.deadMesh changed in second object (was content/gameplay/russia/gun/aaircraft/RGA030_70K_37mm/RGA030_70K_37mm_dead.model, is content/gameplay/russia/gun/aaircraft/RGA008_12_DShK/RGA008_12_DShK_dead.model)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_4.model changed in second object (was content/gameplay/russia/gun/aaircraft/RGA030_70K_37mm/RGA030_70K_37mm.model, is content/gameplay/russia/gun/aaircraft/RGA008_12_DShK/RGA008_12_DShK.model)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_4.id changed in second object (was 4263503312, is 4286571984)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_2.index changed in second object (was PRGA008, is PRGA030)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_2.name changed in second object (was PRGA008_12_DShK, is PRGA030_70K_37mm)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_2.antiAirAuraDistance changed in second object (was 40.0, is 107.0)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_2.antiAirAuraStrength changed in second object (was 0.036, is 0.057)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_2.HitLocationAirDefense.armorCoeff changed in second object (was 1.0, is 0.8)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_2.barrelDiameter changed in second object (was 0.0127, is 0.037)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_2.deadMesh changed in second object (was content/gameplay/russia/gun/aaircraft/RGA008_12_DShK/RGA008_12_DShK_dead.model, is content/gameplay/russia/gun/aaircraft/RGA030_70K_37mm/RGA030_70K_37mm_dead.model)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_2.model changed in second object (was content/gameplay/russia/gun/aaircraft/RGA008_12_DShK/RGA008_12_DShK.model, is content/gameplay/russia/gun/aaircraft/RGA030_70K_37mm/RGA030_70K_37mm.model)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_2.id changed in second object (was 4286571984, is 4263503312)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_3.index changed in second object (was PRGA030, is PRGA008)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_3.name changed in second object (was PRGA030_70K_37mm, is PRGA008_12_DShK)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_3.antiAirAuraDistance changed in second object (was 107.0, is 40.0)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_3.antiAirAuraStrength changed in second object (was 0.057, is 0.036)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_3.HitLocationAirDefense.armorCoeff changed in second object (was 0.8, is 1.0)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_3.barrelDiameter changed in second object (was 0.037, is 0.0127)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_3.deadMesh changed in second object (was content/gameplay/russia/gun/aaircraft/RGA030_70K_37mm/RGA030_70K_37mm_dead.model, is content/gameplay/russia/gun/aaircraft/RGA008_12_DShK/RGA008_12_DShK_dead.model)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_3.model changed in second object (was content/gameplay/russia/gun/aaircraft/RGA030_70K_37mm/RGA030_70K_37mm.model, is content/gameplay/russia/gun/aaircraft/RGA008_12_DShK/RGA008_12_DShK.model)
root.PRSD507_Leningrad_1944.A_AirDefense.HP_RGA_3.id changed in second object (was 4263503312, is 4286571984)
root.PRSD507_Leningrad_1944.A_AirDefense.AuraMedium.guns[0] changed in second object (was HP_RGA_3, is HP_RGA_1)
root.PRSD507_Leningrad_1944.A_AirDefense.AuraMedium.guns[1] changed in second object (was HP_RGA_4, is HP_RGA_2)
root.PRSD507_Leningrad_1944.A_AirDefense.AuraNear.guns[0] changed in second object (was HP_RGA_1, is HP_RGA_3)
root.PRSD507_Leningrad_1944.A_AirDefense.AuraNear.guns[1] changed in second object (was HP_RGA_2, is HP_RGA_4)
root.PCQT212_Key.costUnlock changed in second object (was 1, is 3)
root.PCQT212_Key.conditions[3] changed in second object (was <isActualDateTime startTime="13-12-2016 16:50:01" />, is <isActualDateTime startTime="09-01-2017 00:00:01" />)
root.PCQT242.rewards[0] changed in second object (was <Add type="CREDITS" limit="1000000" count="1000000"/>, is <Add type="CREDITS" limit="500000" count="500000"/>)
