>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCQM024.mapPosition[1] changed in second object (was 0.85, is 0.75)
root.PXW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW012_Haguro.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PZW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PRW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PXW101_Dr_Van_Helsind.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PCQM036.mapPosition[0] changed in second object (was 0.62, is 0.65)
root.PCQM036.mapPosition[1] changed in second object (was 0.4, is 0.25)
root.PJW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PAW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PXW103_Mr_Hide.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PUW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PBW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW008_Myoko.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW016_Gunzou.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW006_Kirishima.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PCQM010.mapPosition[1] changed in second object (was 0.85, is 0.75)
root.PAW101_Seagal.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW005_Kongou.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PCQM038.mapPosition[0] changed in second object (was 0.83, is 0.8)
root.PCQM038.mapPosition[1] changed in second object (was 0.8, is 0.76)
root.PCQM035.mapPosition[1] changed in second object (was 0.15, is 0.05)
root.PCQM037.mapPosition[1] changed in second object (was 0.74, is 0.57)
root.PCQM031.mapPosition[0] changed in second object (was 0.32, is 0.35)
root.PCQM031.mapPosition[1] changed in second object (was 0.9, is 0.77)
root.PCQM030.mapPosition[0] changed in second object (was 0.43, is 0.5)
root.PCQM030.mapPosition[1] changed in second object (was 0.7, is 0.65)
root.PCQM033.mapPosition[0] changed in second object (was 0.15, is 0.18)
root.PCQM033.mapPosition[1] changed in second object (was 0.45, is 0.35)
root.PCQM032.mapPosition[0] changed in second object (was 0.14, is 0.17)
root.PCQM032.mapPosition[1] changed in second object (was 0.9, is 0.65)
root.PCQM009.mapPosition[1] changed in second object (was 0.7, is 0.65)
root.PGW001_DefaultCrew.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PCQM022.mapPosition[1] changed in second object (was 0.45, is 0.35)
root.PCQM023.mapPosition[1] changed in second object (was 0.74, is 0.64)
root.PCQM021.mapPosition[1] changed in second object (was 0.15, is 0.05)
root.PCW001_CrewCommon.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
root.PJW007_Haruna.Skills.LandmineExploderModifier.thresholdPenetrationCoefficient changed in second object (was 1.25, is 1.3)
