>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PXW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PXW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PXW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PXW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PXW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PXW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PXW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PXW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PXW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PXW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW012_Haguro.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW012_Haguro.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW012_Haguro.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW012_Haguro.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW012_Haguro.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW012_Haguro.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW012_Haguro.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW012_Haguro.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW012_Haguro.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW012_Haguro.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PZW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PZW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PZW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PZW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PZW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PZW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PZW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PZW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PZW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PZW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PRW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PRW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PRW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PRW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PRW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PRW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PRW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PRW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PRW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PRW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PXW101_Dr_Van_Helsind.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PXW101_Dr_Van_Helsind.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PXW101_Dr_Van_Helsind.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PXW101_Dr_Van_Helsind.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PXW101_Dr_Van_Helsind.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PXW101_Dr_Van_Helsind.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PXW101_Dr_Van_Helsind.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PXW101_Dr_Van_Helsind.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PXW101_Dr_Van_Helsind.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PXW101_Dr_Van_Helsind.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PGSD104_V_170.groupCustom.PT removed in second object
root.PJW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PGSD106_Ernst_Gaede.groupCustom.PT removed in second object
root.PGSD103_G_101.groupCustom.PT removed in second object
root.PGSD105_T_22.groupCustom.PT removed in second object
root.PAW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PAW001_DefaultCrew.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PAW001_DefaultCrew.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PAW001_DefaultCrew.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PAW001_DefaultCrew.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PAW001_DefaultCrew.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PAW001_DefaultCrew.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PAW001_DefaultCrew.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PAW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PAW001_DefaultCrew.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PXW103_Mr_Hide.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PXW103_Mr_Hide.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PXW103_Mr_Hide.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PXW103_Mr_Hide.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PXW103_Mr_Hide.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
