>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCH079_F_500Leagues.enabled changed in second object (was True, is False)
root.PCH074_F_DressTheTree.enabled changed in second object (was True, is False)
root.PCH080_F_BreakTheBank.enabled changed in second object (was True, is False)
root.PCH076_F_Aiming.enabled changed in second object (was True, is False)
root.PCH082_F_WinAtLeastOne.enabled changed in second object (was True, is False)
root.PCH075_F_ToTheBottom.enabled changed in second object (was True, is False)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_10.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_10.position[0] changed in second object (was 6.0, is 5.75)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_9.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_8.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_1.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_3.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_3.position[0] changed in second object (was 0.0, is 0.75)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_2.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_2.position[0] changed in second object (was 0.0, is 0.75)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_4.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_4.position[0] changed in second object (was 1.0, is 1.75)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_7.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_6.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_5.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_5.position[0] changed in second object (was 1.0, is 1.75)
root.PASC044_Marblehead_1924.TorpedoesDefault.HP_AGT_1.horizSector[0] changed in second object (was -100.0, is -97.0)
root.PASC044_Marblehead_1924.TorpedoesDefault.HP_AGT_1.horizSector[1] changed in second object (was -4.0, is 7.0)
root.PASC044_Marblehead_1924.TorpedoesDefault.HP_AGT_2.horizSector[0] changed in second object (was 0.0, is -7.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY639_FW190A8_Battleship_5_HIDE.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY624_XP_40S_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.Battleship_6_Gold.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.Battleship_4_Gold.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY638_BF109G_Battleship_4_HIDE.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.Battleship_7_Gold.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.Battleship_3_Gold.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.Battleship_5_Gold.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.costCR changed in second object (was 7500, is 22500)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY638_BF109G_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY615_A4N2_N_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY835_HD780_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY621_F4B_float_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY630_TA152C_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY630_TA152C_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY639_FW190A8_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.costGold changed in second object (was 5, is 15)
root.PCY012_FighterPremium.PAY637_BF109E_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY616_A5M2_N_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY630_TA152C_Battleship_7_HIDE.workTime changed in second object (was 60.0, is 90.0)
root.PCH081_F_WinALL.enabled changed in second object (was True, is False)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_10.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_10.position[0] changed in second object (was 6.0, is 5.75)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_9.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_8.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_1.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_3.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_3.position[0] changed in second object (was 0.0, is 0.75)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_2.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_2.position[0] changed in second object (was 0.0, is 0.75)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_4.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_4.position[0] changed in second object (was 1.0, is 1.75)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_7.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_6.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_5.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC045_Marblehead_1924_Asus.ArtilleryDefault.HP_AGM_5.position[0] changed in second object (was 1.0, is 1.75)
root.PASC045_Marblehead_1924_Asus.TorpedoesDefault.HP_AGT_1.horizSector[0] changed in second object (was -100.0, is -97.0)
root.PASC045_Marblehead_1924_Asus.TorpedoesDefault.HP_AGT_1.horizSector[1] changed in second object (was -4.0, is 7.0)
root.PASC045_Marblehead_1924_Asus.TorpedoesDefault.HP_AGT_2.horizSector[0] changed in second object (was 0.0, is -7.0)
root.PCY004_Fighter.Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY524_XP_40S_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY523_F4F_float_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY539_FW190A8_Battleship_5_HIDE.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY521_F4B_float_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY539_FW190A8_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY530_TA152C_Battleship_7_HIDE.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY735_HD780_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY516_A5M2_N_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY538_BF109G_Battleship_4_HIDE.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY502_Kawanishi_N1K1_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY515_A4N2_N_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PJY517_Mitsubishi_A6M2_N_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY537_BF109E_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY538_BF109G_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY004_Fighter.PAY530_TA152C_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
