>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PFSB506_Dunkerque_1940.A_Hull.armor.262234 changed in second object (was 0.0, is 60.0)
root.PFSB506_Dunkerque_1940.A_Hull.armor.196698 changed in second object (was 0.0, is 120.0)
root.PCH079_F_500Leagues.enabled changed in second object (was True, is False)
root.PCH074_F_DressTheTree.enabled changed in second object (was True, is False)
root.PCH080_F_BreakTheBank.enabled changed in second object (was True, is False)
root.PJSC717_Yellow_Dragon.ShipUpgradeInfo.costXP changed in second object (was 72000, is 0)
root.PJSC717_Yellow_Dragon.ShipUpgradeInfo.costCR changed in second object (was 5800000, is 0)
root.PCH076_F_Aiming.enabled changed in second object (was True, is False)
root.PRGM098_130mm_sm2_1.shotDelay changed in second object (was 6.0, is 5.0)
root.PCH082_F_WinAtLeastOne.enabled changed in second object (was True, is False)
root.PRSD210_Grozovoy_pr_40N.A1_Artillery.HP_RGM_2.shotDelay changed in second object (was 6.0, is 5.0)
root.PRSD210_Grozovoy_pr_40N.A1_Artillery.HP_RGM_3.shotDelay changed in second object (was 6.0, is 5.0)
root.PRSD210_Grozovoy_pr_40N.A1_Artillery.HP_RGM_1.shotDelay changed in second object (was 6.0, is 5.0)
root.PRSD308_Pr_20i removed in second object
root.PCH075_F_ToTheBottom.enabled changed in second object (was True, is False)
root.PRSD309_Pr_48 removed in second object
root.PCBX001.hull.armor.65613 changed in second object (was 200.0, is 100.0)
root.PCBX001.artillery.aimLevel changed in second object (was 10, is 9)
root.PCBX001.artillery.HP_CGM_3.shotDelay changed in second object (was 4, is 8)
root.PCBX001.artillery.HP_CGM_2.shotDelay changed in second object (was 4, is 8)
root.PCBX001.artillery.HP_CGM_1.shotDelay changed in second object (was 4, is 8)
root.PCBX003.artillery.aimLevel changed in second object (was 10, is 9)
root.PRSD205_Podvoisky_pr_1929.AB1_Torpedoes.HP_RGT_2.miscFilter[0] removed in first object
root.PRSD205_Podvoisky_pr_1929.AB1_Torpedoes.HP_RGT_1.miscFilter[0] removed in first object
root.PRSD205_Podvoisky_pr_1929.AB2_Torpedoes.HP_RGT_2.miscFilter[0] removed in first object
root.PRSD205_Podvoisky_pr_1929.AB2_Torpedoes.HP_RGT_1.miscFilter[0] removed in first object
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_10.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_10.position[0] changed in second object (was 6.0, is 5.75)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_9.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_8.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_1.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_3.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_3.position[0] changed in second object (was 0.0, is 0.75)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_2.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_2.position[0] changed in second object (was 0.0, is 0.75)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_4.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_4.position[0] changed in second object (was 1.0, is 1.75)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_7.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_6.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_5.shotDelay changed in second object (was 7.0, is 6.67)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_5.position[0] changed in second object (was 1.0, is 1.75)
root.PASC044_Marblehead_1924.TorpedoesDefault.HP_AGT_1.horizSector[0] changed in second object (was -100.0, is -97.0)
root.PASC044_Marblehead_1924.TorpedoesDefault.HP_AGT_1.horizSector[1] changed in second object (was -4.0, is 7.0)
root.PASC044_Marblehead_1924.TorpedoesDefault.HP_AGT_2.horizSector[0] changed in second object (was 0.0, is -7.0)
root.PRSD207_Minsk.AB_Finders.HP_RF_3.miscFilter[0] removed in first object
root.PJSC727_Blue_Dragon.ShipUpgradeInfo.costXP changed in second object (was 72000, is 0)
root.PJSC727_Blue_Dragon.ShipUpgradeInfo.costCR changed in second object (was 5800000, is 0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY617_Mitsubishi_A6M2_N_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY623_F4F_float_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_3.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PAY622_F3F_float_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_7.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_6.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_5.workTime changed in second object (was 60.0, is 90.0)
root.PCY012_FighterPremium.PJY602_Kawanishi_N1K1_Battleship_4.workTime changed in second object (was 60.0, is 90.0)
