>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCEF006_HY_SignalFlag.costGold changed in second object (was 1, is 2)
root.PCEC006_Tile_Supertest.costGold changed in second object (was 60, is 2)
root.PCY016_SonarSearchPremium.costCR changed in second object (was 22500, is 2)
root.PCY016_SonarSearchPremium.costGold changed in second object (was 15, is 2)
root.PCY020_RLSSearchPremium.costCR changed in second object (was 22500, is 2)
root.PCY020_RLSSearchPremium.costGold changed in second object (was 15, is 2)
root.PCY018_TorpedoReloaderPremium.costCR changed in second object (was 22500, is 2)
root.PCY018_TorpedoReloaderPremium.costGold changed in second object (was 15, is 2)
root.PCEF010_JC_SignalFlag.costGold changed in second object (was 4, is 2)
root.PCEC013_Camo_MGT.costGold changed in second object (was 25, is 2)
root.PCEF014_NF_SignalFlag.costGold changed in second object (was 5, is 2)
root.PCEC002_Camo_2.costCR changed in second object (was 12000, is 2)
root.PCEF001_Zulu_SignalFlag.costGold changed in second object (was 6, is 2)
root.PCEF009_JY2_SignalFlag.costGold changed in second object (was 5, is 2)
root.PCY009_CrashCrewPremium.costCR changed in second object (was 22500, is 2)
root.PCY009_CrashCrewPremium.costGold changed in second object (was 15, is 2)
root.PCEF013_PP_SignalFlag.costGold changed in second object (was 8, is 2)
root.PCY013_SpotterPremium.costCR changed in second object (was 22500, is 2)
root.PCY013_SpotterPremium.costGold changed in second object (was 15, is 2)
root.PCEF020_Blue_Dragon_Flag.costGold changed in second object (was 33, is 2)
root.PBSC507_Belfast_1959.groupCustom.RU removed in first object
root.PCEC016_Camo_Gamescom_2016.costGold changed in second object (was 50, is 2)
root.PCEF008_IY_SignalFlag.costGold changed in second object (was 6, is 2)
root.PCEC001_Camo_1.costCR changed in second object (was 8000, is 2)
root.PCEF003_EqualSpeed_SignalFlag.costGold changed in second object (was 16, is 2)
root.PCY011_AirDefenseDispPremium.costCR changed in second object (was 22500, is 2)
root.PCY011_AirDefenseDispPremium.costGold changed in second object (was 15, is 2)
root.PCEC018_Restless_Fire.costGold changed in second object (was 50, is 2)
root.PCEF016_NE7_SignalFlag.costGold changed in second object (was 5, is 2)
root.PGSB503_Koenig_Albert.groupCustom.RU removed in first object
root.PCEF015_ZH_SignalFlag.costGold changed in second object (was 6, is 2)
root.PCY010_RegenCrewPremium.costGold changed in second object (was 15, is 2)
root.PCY010_RegenCrewPremium.costCR changed in second object (was 22500, is 2)
root.PCEC012_Camo_Basketball_Tile_4.costGold changed in second object (was 75, is 2)
root.PCEF011_IB3_SignalFlag.costGold changed in second object (was 4, is 2)
root.PCEC008_Camo_Eco_Tile.costGold changed in second object (was 50, is 2)
root.PCY014_SmokeGeneratorPremium.costGold changed in second object (was 15, is 2)
root.PCY014_SmokeGeneratorPremium.costCR changed in second object (was 22500, is 2)
root.PCEC004_Camo_XP_Boost.costGold changed in second object (was 30, is 2)
root.PCEC003_Camo_Halloween.costGold changed in second object (was 30, is 2)
root.PCEF005_SM_SignalFlag.costGold changed in second object (was 5, is 2)
root.PCEC017_Camo_wows_birthday_tile.costGold changed in second object (was 50, is 2)
root.PCY015_SpeedBoosterPremium.costCR changed in second object (was 22500, is 2)
root.PCY015_SpeedBoosterPremium.costGold changed in second object (was 15, is 2)
root.PCEC005_Camo_NY_3.costGold changed in second object (was 30, is 2)
root.PCY012_FighterPremium.costCR changed in second object (was 22500, is 2)
root.PCY012_FighterPremium.costGold changed in second object (was 15, is 2)
root.PCEC014_Camo_GNB_May_2016.costGold changed in second object (was 25, is 2)
root.PCEF017_VL_SignalFlag.costGold changed in second object (was 10, is 2)
root.PCEC015_Camo_CN_Special.costGold changed in second object (was 50, is 2)
root.PCEC007_Camo_3_Tile_Double.costCR changed in second object (was 22500, is 2)
root.PCEC011_Camo_Basketball_Tile_3.costCR changed in second object (was 22500, is 2)
root.PRSD507_Leningrad_1944.groupCustom.RU removed in first object
root.PCEC010_Camo_Basketball_Tile_2.costCR changed in second object (was 22500, is 2)
root.PCEC009_Camo_Basketball_Tile_1.costCR changed in second object (was 22500, is 2)
root.PCEF018_IX_SignalFlag.costGold changed in second object (was 5, is 2)
root.PCEF019_JW1_SignalFlag.costGold changed in second object (was 5, is 2)
root.PCEC019_Camo_Halloween_16.costGold changed in second object (was 30, is 2)
root.PCEC020_Camo_New_Year_17.costGold changed in second object (was 5, is 2)
>> finished comparing
