>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PJSB007_Kongo_1942.B_Hull_1941.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSB007_Kongo_1942.B_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB007_Kongo_1942.C_Hull_1942.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSB007_Kongo_1942.C_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD105_Pr_7_Gnevny.A_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PRSD105_Pr_7_Gnevny.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD105_Pr_7_Gnevny.B_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PRSD105_Pr_7_Gnevny.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC102_Weymouth.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC102_Weymouth.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB705_Kongou.B_Hull_1941.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSB705_Kongou.B_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB705_Kongou.C_Hull_1942.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSB705_Kongou.C_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PFSB506_Dunkerque_1940.A_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PFSB506_Dunkerque_1940.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD002_Umikaze_1925.A_Hull_1911.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD002_Umikaze_1925.B_Hull_1918.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC709_Haguro.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC709_Haguro.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC709_Haguro.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC709_Haguro.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC709_Haguro.C_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC709_Haguro.C_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD706_Shinonome.A_Hull.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PJSD706_Shinonome.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD706_Shinonome.ShipModernization.ModernizationSlot3.mods[3] removed in first object
root.PASA002_Bogue_1942.A_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
