>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCJM005_Maintenance_Destroyer.value changed in second object (was 3, is 10)
root.PCJM005_Maintenance_Destroyer.cost changed in second object (was 5000, is 4000)
root.PGSC106_Nurnberg.AB1_Artillery.HP_GGM_3.pitchDeadZones[0][3] changed in second object (was 90.0, is 40.0)
root.PGSC106_Nurnberg.AB1_Artillery.HP_GGM_2.pitchDeadZones[0][3] changed in second object (was 90.0, is 40.0)
root.PGSC106_Nurnberg.C1_Artillery.HP_GGM_3.pitchDeadZones[0][3] changed in second object (was 90.0, is 40.0)
root.PGSC106_Nurnberg.C1_Artillery.HP_GGM_2.pitchDeadZones[0][3] changed in second object (was 90.0, is 40.0)
root.PCJM014_ExpBoost_Japan.value changed in second object (was 2, is 3)
root.PCJM014_ExpBoost_Japan.cost changed in second object (was 25000, is 2000)
root.PJSC012_Ibuki_1944.ArtilleryDefault.HP_JGM_2.pitchDeadZones[0][3] changed in second object (was 90.0, is 70.0)
root.PRSD103_Derzky.A_Artillery.HP_RGM_3.pitchDeadZones[0][3] changed in second object (was 90.0, is 30.0)
root.PRSD103_Derzky.B_Artillery.HP_RGM_3.pitchDeadZones[0][3] changed in second object (was 90.0, is 30.0)
root.PCJM019_ExpBoost_PanAsia.value changed in second object (was 2, is 3)
root.PCJM019_ExpBoost_PanAsia.cost changed in second object (was 25000, is 2000)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_2.pitchDeadZones[0][3] changed in second object (was 90.0, is 30.0)
root.PCJM013_ExpBoost_USA.value changed in second object (was 2, is 3)
root.PCJM013_ExpBoost_USA.cost changed in second object (was 25000, is 2000)
root.PCJM010_ExpBoost_UK.value changed in second object (was 2, is 3)
root.PCJM010_ExpBoost_UK.cost changed in second object (was 25000, is 2000)
root.PCJM001_PurchaseDiscount_5_Lvl.value changed in second object (was 5, is 10)
root.PCJM001_PurchaseDiscount_5_Lvl.cost changed in second object (was 3000, is 50)
root.PASB013_Arkansas_1912.ArtilleryDefault.HP_AGM_3.pitchDeadZones[0][3] changed in second object (was 90.0, is 15.0)
root.PASB013_Arkansas_1912.ArtilleryDefault.HP_AGM_4.pitchDeadZones[0][3] changed in second object (was 90.0, is 15.0)
root.PRSC010_Diana_1905_Asus.ArtilleryDefault.HP_RGM_1.pitchDeadZones[0][3] changed in second object (was 90.0, is 20.0)
root.PGSD105_T_22.AB1_Artillery.HP_GGM_3.pitchDeadZones[0][3] changed in second object (was 90.0, is 70.0)
root.PGSD105_T_22.AB1_Artillery.HP_GGM_4.pitchDeadZones[0][3] changed in second object (was 90.0, is 70.0)
root.PGSD105_T_22.AB1_Artillery.HP_GGM_2.pitchDeadZones[0][3] changed in second object (was 90.0, is 70.0)
root.PGSD105_T_22.AB1_Artillery.HP_GGM_1.pitchDeadZones[0][3] changed in second object (was 90.0, is 70.0)
root.PCJM015_MembersCount1.cost changed in second object (was 100000, is 20000)
root.PCJM018_Dummy.cost changed in second object (was 1000000, is 9999999)
