>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PAUD974_DB_MIDWAY.costCR changed in second object (was 980000, is 0)
root.PAUE976_ENG_GEARING.costXP changed in second object (was 1, is 0)
root.PCH144_BD2_RANKS.enabled changed in second object (was True, is False)
root.PGUT974_TORP_HIND.costXP changed in second object (was 1, is 0)
root.PGUT974_TORP_HIND.costCR changed in second object (was 1, is 0)
root.PJUD975_DB2_HAKU.costCR changed in second object (was 980000, is 0)
root.PBUE974_ENG_CONQ.costXP changed in second object (was 1, is 0)
root.PRUE975_ENG_GROZ.costXP changed in second object (was 1, is 0)
root.PAUH974_MONTANA.costXP changed in second object (was 300, is 0)
root.PAUH974_MONTANA.costCR changed in second object (was 31000, is 0)
root.PCH145_BD2_USSR.enabled changed in second object (was True, is False)
root.PASD913_Gearing_1945.ShipUpgradeInfo.costXP changed in second object (was 236000, is 0)
root.PASD913_Gearing_1945.ShipUpgradeInfo.costCR changed in second object (was 19500000, is 0)
root.PCH136_BD2_HW2016.enabled changed in second object (was True, is False)
root.PGUE975_ENG_HIND.costXP changed in second object (was 1, is 0)
root.PJUS974_SUO_ZAO.costXP changed in second object (was 1, is 0)
root.PJUS974_SUO_ZAO.costCR changed in second object (was 1, is 0)
root.PGUE974_ENG_GROSS.costXP changed in second object (was 1, is 0)
root.PCH134_BD2_GB.enabled changed in second object (was True, is False)
root.PCH146_BD2_FR.enabled changed in second object (was True, is False)
root.PAUF976_FC_2B_MIDWAY.costXP changed in second object (was 30000, is 0)
root.PAUF976_FC_2B_MIDWAY.costCR changed in second object (was 2400000, is 0)
root.PAUF975_FC_2A_MIDWAY.costXP changed in second object (was 30000, is 0)
root.PAUF975_FC_2A_MIDWAY.costCR changed in second object (was 2400000, is 0)
root.PGUS974_SUO_GROSS.costXP changed in second object (was 1, is 0)
root.PGUS974_SUO_GROSS.costCR changed in second object (was 1, is 0)
root.PUSD503_Vampire.Cameras.Guns2.InnerTrajectory.posCenter[1] changed in second object (was 0.484, is 0.55)
root.PUSD503_Vampire.Cameras.Guns1.InnerTrajectory.posCenter[1] changed in second object (was 0.599, is 0.605)
root.PBUS974_SUO_CONQ.costXP changed in second object (was 1, is 0)
root.PBUS974_SUO_CONQ.costCR changed in second object (was 1, is 0)
root.PCH140_BD2_GE.enabled changed in second object (was True, is False)
root.PAUF974_FC_1_MIDWAY.costXP changed in second object (was 30000, is 0)
root.PAUF974_FC_1_MIDWAY.costCR changed in second object (was 2400000, is 0)
root.PGSB910_Grossdeutschland.ShipUpgradeInfo.costXP changed in second object (was 255000, is 0)
root.PGSB910_Grossdeutschland.ShipUpgradeInfo.costCR changed in second object (was 20600000, is 0)
root.PCH137_BD2_CAMO.enabled changed in second object (was True, is False)
root.PJUB975_TB2_HAKU.costCR changed in second object (was 980000, is 0)
root.PASB518_Massachusetts.A1_Artillery.HP_AGM_3.miscFilter[2] changed in second object (was MP_AM055_Boat_1, is MP_AM133_Boat_7)
root.PASB518_Massachusetts.A1_Artillery.HP_AGM_3.miscFilter[3] changed in second object (was MP_AM133_Boat_7, is MP_AM133_Boat_7_INDEX_1)
root.PASB518_Massachusetts.A1_Artillery.HP_AGM_3.miscFilter[4] changed in second object (was MP_AM133_Boat_7_INDEX_1, is MP_AM133_Boat_7_INDEX_2)
