>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PAGM077_6in47_MK16.minRadius changed in second object (was 0.5, is 1.1)
root.PXAF002_Grumman_F6F.vitalityTime changed in second object (was 17.0, is 31.46)
root.PJSC012_Ibuki_1944.ArtilleryDefault.HP_JGM_3.onMoveTarPosCoeffMaxDist changed in second object (was 1.5, is 1.002)
root.PJSC012_Ibuki_1944.ArtilleryDefault.HP_JGM_3.reduceTime changed in second object (was 1.0, is 0.1)
root.PJSC012_Ibuki_1944.ArtilleryDefault.HP_JGM_3.onMoveTarPosCoeffDelim changed in second object (was 1.5, is 1.001)
root.PJSC012_Ibuki_1944.ArtilleryDefault.HP_JGM_4.onMoveTarPosCoeffMaxDist changed in second object (was 1.5, is 1.002)
root.PJSC012_Ibuki_1944.ArtilleryDefault.HP_JGM_4.reduceTime changed in second object (was 1.0, is 0.1)
root.PJSC012_Ibuki_1944.ArtilleryDefault.HP_JGM_4.onMoveTarPosCoeffDelim changed in second object (was 1.5, is 1.001)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_1.minRadius changed in second object (was 0.5, is 1.1)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_3.minRadius changed in second object (was 0.5, is 1.1)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_2.minRadius changed in second object (was 0.5, is 1.1)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_4.minRadius changed in second object (was 0.5, is 1.1)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_6.minRadius changed in second object (was 0.5, is 1.1)
root.PASC016_Worcester_1948.ArtilleryDefault.HP_AGM_5.minRadius changed in second object (was 0.5, is 1.1)
root.PXY007_SpeedBooster.H2017_Kagero.reloadTime changed in second object (was 80.0, is 40.0)
root.PXY007_SpeedBooster.H2017_Kagero.numConsumables changed in second object (was 3, is 5)
root.PAEP314_Texas_Lone_star.costCR changed in second object (was -1, is 0)
root.PAEP314_Texas_Lone_star.costGold changed in second object (was 1000, is 3025)
root.PXAD013_Douglas_SBD5.vitalityTime changed in second object (was 14.3, is 31.46)
root.PJSC018_Tone.ArtilleryDefault.HP_JGM_2.onMoveTarPosCoeffMaxDist changed in second object (was 1.5, is 1.002)
