>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PRGM095_130MM55_B7CAS.shotDelay changed in second object (was 9.2, is 8.1)
root.PJSD706_Shinonome.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PJSD706_Shinonome.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PJSD706_Shinonome.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PJSD706_Shinonome.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSC506_Admiral_Graf_Spee.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 45.0)
root.PGSC506_Admiral_Graf_Spee.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 45.0)
root.PGSC506_Admiral_Graf_Spee.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 45.0)
root.PGSC506_Admiral_Graf_Spee.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 45.0)
root.PGSD104_V_170.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSD104_V_170.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSD104_V_170.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSD104_V_170.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSD104_V_170.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSD104_V_170.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSD104_V_170.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSD104_V_170.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.A_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.B_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.B_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.B_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.B_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.C_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.C_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.C_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
root.PGSC106_Nurnberg.C_Hull.burnNodes[3][3] changed in second object (was 60.0, is 30.0)
root.PRSD308_Pr_48.A_Hull.burnNodes[0][3] changed in second object (was 60.0, is 30.0)
root.PRSD308_Pr_48.A_Hull.burnNodes[1][3] changed in second object (was 60.0, is 30.0)
root.PRSD308_Pr_48.A_Hull.burnNodes[2][3] changed in second object (was 60.0, is 30.0)
