>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PJSD706_Shinonome.A_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PBSB104_Orion.A_Hull.visibilityCoefGK changed in second object (was 10.29, is 1e-06)
root.PBSB104_Orion.B_Hull.visibilityCoefGK changed in second object (was 10.29, is 1e-06)
root.PGSC506_Admiral_Graf_Spee.A_Hull.visibilityCoefGK changed in second object (was 8.49, is 1e-06)
root.PGSD104_V_170.B_Hull.visibilityCoefGK changed in second object (was 6.65, is 1e-06)
root.PGSD104_V_170.A_Hull.visibilityCoefGK changed in second object (was 6.65, is 1e-06)
root.PGSC106_Nurnberg.A_Hull.visibilityCoefGK changed in second object (was 4.5, is 1e-06)
root.PGSC106_Nurnberg.B_Hull.visibilityCoefGK changed in second object (was 4.5, is 1e-06)
root.PGSC106_Nurnberg.C_Hull.visibilityCoefGK changed in second object (was 4.5, is 1e-06)
root.PRSD308_Pr_48.A_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PRSD308_Pr_48.B_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PRSD001_Gremyashchy_1942.HullDefault.visibilityCoefGK changed in second object (was 3.8, is 1e-06)
root.PBSD506_Gallant.A_Hull.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PGSD103_G_101.B_Hull.visibilityCoefGK changed in second object (was 6.65, is 1e-06)
root.PGSD103_G_101.A_Hull.visibilityCoefGK changed in second object (was 6.65, is 1e-06)
root.PZSD110_Hsiang_Yang.A_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PJSD206_Hatsuharu.B_Hull_1945.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PJSD206_Hatsuharu.A_Hull_1935.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PRSC508_Kutuzov_1952.A_Hull.visibilityCoefGK changed in second object (was 6.56, is 1e-06)
root.PGSC110_Hindenburg.HullDefault.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PXSB005_Bismarck_H2017.A_Hull.visibilityCoefGK changed in second object (was 11.4, is 1e-06)
root.PASX904_Cimarron.HullDefault.visibilityCoefGK changed in second object (was 2.6, is 1e-06)
root.PASC019_Burlington_1944.HullDefault.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PJSC012_Ibuki_1944.B_Hull_1945.visibilityCoefGK changed in second object (was 6.1, is 1e-06)
root.PJSC012_Ibuki_1944.A_Hull_1944.visibilityCoefGK changed in second object (was 6.1, is 1e-06)
root.PCBX024_PCGM004.hull.visibilityCoefGK changed in second object (was 2, is 1e-06)
root.PASD913_Gearing_1945.HullDefault.visibilityCoefGK changed in second object (was 3.8, is 1e-06)
root.PJSC014_Kitakami_1945.HullDefault.visibilityCoefGK changed in second object (was 4.2, is 1e-06)
root.PBSC101_Black_Swan.A_Hull.visibilityCoefGK changed in second object (was 3.06, is 1e-06)
root.PRSC506_Molotov_1943.A_Hull.visibilityCoefGK changed in second object (was 5.4, is 1e-06)
root.PZSC101_Cheng_An.A_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PRSC102_Novik.A_Hull.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PRSC102_Novik.B_Hull.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PRSD103_Derzky.B_Hull.visibilityCoefGK changed in second object (was 4.06, is 1e-06)
root.PRSD103_Derzky.A_Hull.visibilityCoefGK changed in second object (was 4.06, is 1e-06)
root.PJSD010_Kagero_1943.A_Hull_1943.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
