>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PRGM113_149mm60_DrhTr_SK_C25.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PAGM152_6in50_MK6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJSB007_Kongo_1942.B1_356_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB007_Kongo_1942.B1_356_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB007_Kongo_1942.B1_356_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB007_Kongo_1942.B1_356_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB007_Kongo_1942.C1_356_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB007_Kongo_1942.C1_356_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB007_Kongo_1942.C1_356_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB007_Kongo_1942.C1_356_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PRSD409_Pr_20i_Tashkent.AB1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRSD409_Pr_20i_Tashkent.AB1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRSD409_Pr_20i_Tashkent.AB1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRSD105_Pr_7_Gnevny.A1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD105_Pr_7_Gnevny.A1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD105_Pr_7_Gnevny.A1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.13)
