>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PJSC503_Katori.groupCustom.CN changed in second object (was premium, is special)
root.PJSB011_Mikasa_1905.groupCustom.EU changed in second object (was premium, is special)
root.PJSB011_Mikasa_1905.groupCustom.CN changed in second object (was premium, is special)
root.PJSC038_Atago_1944.groupCustom.EU changed in second object (was premium, is special)
root.PJSC038_Atago_1944.groupCustom.NA changed in second object (was premium, is special)
root.PJSC038_Atago_1944.groupCustom.ASIA changed in second object (was premium, is special)
root.PJSC038_Atago_1944.groupCustom.RU changed in second object (was premium, is special)
root.PRSC508_Kutuzov_1952.groupCustom.EU changed in second object (was premium, is special)
root.PRSC508_Kutuzov_1952.groupCustom.NA changed in second object (was premium, is special)
root.PRSC508_Kutuzov_1952.groupCustom.ASIA changed in second object (was premium, is special)
root.PRSC508_Kutuzov_1952.groupCustom.RU changed in second object (was premium, is special)
root.PZSD506_Anshan.groupCustom.CN changed in second object (was premium, is special)
root.PRSB001_Nikolay_I.groupCustom.CN changed in second object (was premium, is special)
root.PZSD508_LoYang.groupCustom.CN changed in second object (was premium, is special)
root.PASD029_Sims_1941.groupCustom.CN changed in second object (was premium, is special)
root.PRSC002_Diana_1905.groupCustom.EU changed in second object (was premium, is special)
root.PRSC002_Diana_1905.groupCustom.NA changed in second object (was premium, is special)
root.PRSC002_Diana_1905.groupCustom.CN changed in second object (was premium, is special)
root.PRSC002_Diana_1905.groupCustom.RU changed in second object (was premium, is special)
root.PBSD503_Campbeltown_1941.groupCustom.EU changed in second object (was premium, is special)
root.PBSD503_Campbeltown_1941.groupCustom.NA changed in second object (was premium, is special)
root.PBSD503_Campbeltown_1941.groupCustom.CN changed in second object (was premium, is special)
root.PBSD503_Campbeltown_1941.groupCustom.ASIA changed in second object (was premium, is special)
root.PBSD503_Campbeltown_1941.groupCustom.RU changed in second object (was premium, is special)
root.PRSC003_Murmansk_1944.group changed in second object (was premium, is special)
root.PRSC001_Avrora_1917.group changed in second object (was premium, is special)
root.PASC044_Marblehead_1924.groupCustom.EU changed in second object (was premium, is special)
root.PASC044_Marblehead_1924.groupCustom.RU changed in second object (was premium, is special)
root.PASC044_Marblehead_1924.groupCustom.CN changed in second object (was premium, is special)
root.PBSB002_Warspite_1941.groupCustom.EU changed in second object (was premium, is special)
root.PBSB002_Warspite_1941.groupCustom.NA changed in second object (was premium, is special)
root.PBSB002_Warspite_1941.groupCustom.CN changed in second object (was premium, is special)
root.PBSB002_Warspite_1941.groupCustom.ASIA changed in second object (was premium, is special)
root.PBSB002_Warspite_1941.groupCustom.RU changed in second object (was premium, is special)
root.PASB705_Texas_1944.groupCustom.NA changed in second object (was premium, is special)
root.PASB705_Texas_1944.groupCustom.ASIA changed in second object (was premium, is special)
root.PASC003_Albany_1898.groupCustom.CN changed in second object (was premium, is special)
root.PASA507_Saipan_1946.groupCustom.EU changed in second object (was premium, is special)
root.PGSC502_Emden_1908.groupCustom.EU changed in second object (was premium, is special)
root.PGSC502_Emden_1908.groupCustom.NA changed in second object (was premium, is special)
root.PGSC502_Emden_1908.groupCustom.RU changed in second object (was premium, is special)
root.PJSD001_Tachibana_1912.groupCustom.EU changed in second object (was premium, is special)
root.PJSD001_Tachibana_1912.groupCustom.NA changed in second object (was premium, is special)
root.PJSD001_Tachibana_1912.groupCustom.CN changed in second object (was premium, is special)
root.PJSD001_Tachibana_1912.groupCustom.RU changed in second object (was premium, is special)
root.PGSB002_Tirpiz_1942.groupCustom.NA changed in second object (was premium, is special)
root.PGSB002_Tirpiz_1942.groupCustom.CN changed in second object (was premium, is special)
root.PGSB002_Tirpiz_1942.groupCustom.ASIA changed in second object (was premium, is special)
root.PGSB002_Tirpiz_1942.groupCustom.RU changed in second object (was premium, is special)
root.PJSB008_Ishizuchi_1921.group changed in second object (was premium, is special)
root.PWSD501_Blyskawica.groupCustom.NA changed in second object (was premium, is special)
root.PWSD501_Blyskawica.groupCustom.CN changed in second object (was premium, is special)
root.PWSD501_Blyskawica.groupCustom.ASIA changed in second object (was premium, is special)
root.PWSD501_Blyskawica.groupCustom.RU changed in second object (was premium, is special)
root.PASC006_Atlanta_1942.group changed in second object (was premium, is special)
root.PRSC506_Molotov_1943.groupCustom.NA changed in second object (was premium, is special)
root.PRSC506_Molotov_1943.groupCustom.RU changed in second object (was premium, is special)
>> finished comparing
