>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_4.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_4.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_7.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_7.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_1.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_1.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_3.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_3.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_2.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_2.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_9.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_9.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_8.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_8.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_14.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_14.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_10.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_10.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_13.rotationSpeed[0] changed in second object (was 10.0, is 60.0)
root.PGSB110_Grossdeutschland.A_ATBA.HP_GGS_13.rotationSpeed[1] changed in second object (was 10.0, is 1.0)
root.PCPA060_406mm_HE_HE_Mk_2.alphaDamage changed in second object (was 5600.0, is 11760.0)
root.PCPA060_406mm_HE_HE_Mk_2.damage changed in second object (was 4160.0, is 8736.0)
root.PCPA060_406mm_HE_HE_Mk_2.burnProb changed in second object (was 0.14, is 0.15)
root.PJW101_Eastern_dragon_king.CrewPersonality.isPerson removed in first object
root.PCBX001.airDefense.HP_CGA_4.antiAirAuraStrength changed in second object (was 0.7, is 0.77)
root.PCBX001.airDefense.HP_CGA_3.antiAirAuraStrength changed in second object (was 0.7, is 0.77)
