>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCPA023_140mm_BASIC_MG_AP.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PAGM152_6in50_MK6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.B_Hull_1941.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB007_Kongo_1942.A1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.A1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.A1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.A1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.B1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.B1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.B1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.B1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.A_Hull_1913.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB007_Kongo_1942.C_Hull_1942.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB007_Kongo_1942.C1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.C1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.C1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB007_Kongo_1942.C1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD105_Pr_7_Gnevny.permoflages[0] changed in second object (was PREP505_Pr_7_Gnevny, is PCEP301_Permo_NY)
root.PRSD105_Pr_7_Gnevny.A1_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD105_Pr_7_Gnevny.A1_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD105_Pr_7_Gnevny.A1_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD105_Pr_7_Gnevny.A1_Artillery.HP_RGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD105_Pr_7_Gnevny.B1_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD105_Pr_7_Gnevny.B1_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD105_Pr_7_Gnevny.B1_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD105_Pr_7_Gnevny.B1_Artillery.HP_RGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM140_120mm45_twin.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRGM063_152mm_57_MK_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGGM039_406mm_C34.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM156_16in45_Mk1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA016_Shell_152mm_AP_C_Mk_28.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PJSB705_Kongou.B_Hull_1941.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB705_Kongou.A1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.A1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.A1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.A1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.B1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.B1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.B1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.B1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.A_Hull_1913.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB705_Kongou.C_Hull_1942.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB705_Kongou.C1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.C1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.C1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB705_Kongou.C1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRGM085_152mm_Mk_5_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRGM095_130MM55_B7CAS.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM031_6in53_Mk16_Twin.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM129_12in45_MkX.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM092_5in38_Mk38_Mod0.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM077_6in47_MK16.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM099_410mm45.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PBGM027_4in50_Mk12.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRGM015_6in53_Mk16_Twin.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM093_4in50_Mk12.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
